# source: pvgis_fetch
hour,solar_kw_per_kwp
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.30939999999999995
8,0.4235
9,0.65198
10,0.71039
11,0.68649
12,0.60863
13,0.46041000000000004
14,0.17744
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.32792
32,0.5411699999999999
33,0.65671
34,0.71656
35,0.68759
36,0.61766
37,0.46055
38,0.19365000000000002
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.19032
56,0.40282
57,0.33
58,0.525
59,0.67101
60,0.59304
61,0.45982999999999996
62,0.18180000000000002
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.33826
80,0.54092
81,0.64015
82,0.7074199999999999
83,0.68649
84,0.6012000000000001
85,0.44310000000000005
86,0.16282
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.01191
104,0.0785
105,0.10366
106,0.16762
107,0.19786
108,0.13719
109,0.07013
110,0.0313
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.36173
128,0.57147
129,0.67145
130,0.7110700000000001
131,0.71709
132,0.64311
133,0.47739
134,0.16483
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.33676
152,0.55353
153,0.6762100000000001
154,0.73827
155,0.72203
156,0.63874
157,0.47556
158,0.20305
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.3467
176,0.55026
177,0.6669700000000001
178,0.7355900000000001
179,0.72178
180,0.63778
181,0.48846
182,0.21756999999999999
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.33845
200,0.52895
201,0.6470499999999999
202,0.7068
203,0.6951799999999999
204,0.6223099999999999
205,0.4631
206,0.1683
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.31672
224,0.49633
225,0.61268
226,0.66542
227,0.6601699999999999
228,0.5783400000000001
229,0.45658
230,0.24346
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.00202
247,0.25743
248,0.48755000000000004
249,0.60657
250,0.68123
251,0.68189
252,0.21131
253,0.12556
254,0.08419
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.03423
272,0.04353
273,0.02929
274,0.0292
275,0.04077
276,0.06309000000000001
277,0.13649
278,0.05293
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00252
295,0.19769
296,0.048159999999999994
297,0.14906999999999998
298,0.39994999999999997
299,0.6011
300,0.5811799999999999
301,0.47417000000000004
302,0.14621
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00202
319,0.30635
320,0.48336
321,0.62351
322,0.68036
323,0.65811
324,0.57784
325,0.46076
326,0.27488999999999997
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00207
343,0.32176
344,0.49082
345,0.61419
346,0.68633
347,0.6676
348,0.60014
349,0.48473
350,0.27394999999999997
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.00304
367,0.21101
368,0.37281
369,0.59756
370,0.67648
371,0.65549
372,0.5862200000000001
373,0.47147
374,0.28770999999999997
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00206
391,0.14955000000000002
392,0.36582
393,0.41993
394,0.6752999999999999
395,0.60539
396,0.5776399999999999
397,0.47837999999999997
398,0.30445
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.00404
415,0.08409
416,0.16199000000000002
417,0.21043
418,0.16536
419,0.19399
420,0.16765
421,0.07944
422,0.0208
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0030499999999999998
439,0.06032
440,0.14341
441,0.46394
442,0.28093
443,0.32472
444,0.3098
445,0.29374
446,0.21744
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00466
463,0.08942
464,0.17237
465,0.22124000000000002
466,0.41176
467,0.30994
468,0.59709
469,0.51028
470,0.33504
471,0.0017
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0031
487,0.36299000000000003
488,0.54676
489,0.67235
490,0.7400800000000001
491,0.72187
492,0.6489400000000001
493,0.5199
494,0.34543
495,0.00172
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.00309
511,0.36036
