scope,arm,arm_type,capacity_surcharge_divisor,broker_count,comparator_arm,data_source,k,metric,n_seeds,paired_mean_pct_change,pct_point_diff_mono_minus_comparator,paired_mean_diff_raw,paired_dz,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,n_favorable_of_n_seeds,total_deferred_kwh_capacity_both_mean,total_deferred_kwh_capacity_disabled_mean,comparator_total_deferred_kwh_capacity_both_mean,deferred_volume_ratio_mono_over_comparator,correction_family,correction_family_size,metric3_sign_convention,notes
arm_vs_own_baseline,mono_divisor_1,monopoly_dose_matched,1.0,1,,"sweep_monopoly.parquet (reused, not re-run; analytically divisor=1)",0.5,feeder_peak_to_average_ratio,30,-0.07915077595470364,,-0.002945172381803192,-0.0922974441022817,0.6170048801019878,1.0,0.617004880101988,False,False,-0.014860404183423522,0.008970059419817137,-0.014317288686955613,0.007953491622006965,16,80638.07867784434,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_1,monopoly_dose_matched,1.0,1,,"sweep_monopoly.parquet (reused, not re-run; analytically divisor=1)",0.5,feeder_peak_to_average_ratio,30,-0.07915077595470364,,-0.002945172381803192,-0.0922974441022817,0.6170048801019878,1.0,0.617004880101988,False,False,-0.014860404183423522,0.008970059419817137,-0.014317288686955613,0.007953491622006965,16,80638.07867784434,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_1,monopoly_dose_matched,1.0,1,,"sweep_monopoly.parquet (reused, not re-run; analytically divisor=1)",0.5,feeder_coefficient_of_variation,30,-16.258652016736047,,-0.11059317330957313,-70.32700508893456,2.430961701149715e-55,5.834308082759316e-54,1.134448793869867e-54,True,True,-0.11118037547387864,-0.11000597114526763,-0.11116924075009452,-0.11006212253119106,30,80638.07867784434,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_1,monopoly_dose_matched,1.0,1,,"sweep_monopoly.parquet (reused, not re-run; analytically divisor=1)",1.0,feeder_peak_to_average_ratio,30,0.5750306740865732,,0.020114368662305464,0.14675109464269803,0.4280587481820828,1.0,0.4609863441960892,False,False,-0.03106636504061273,0.07129510236522366,-0.025074932211388894,0.07086894088860472,21,49941.44911896594,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_1,monopoly_dose_matched,1.0,1,,"sweep_monopoly.parquet (reused, not re-run; analytically divisor=1)",1.0,feeder_peak_to_average_ratio,30,0.5750306740865732,,0.020114368662305464,0.14675109464269803,0.4280587481820828,1.0,0.4994018728790966,False,False,-0.03106636504061273,0.07129510236522366,-0.02522498764499805,0.07103869484141835,21,49941.44911896594,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_1,monopoly_dose_matched,1.0,1,,"sweep_monopoly.parquet (reused, not re-run; analytically divisor=1)",1.0,feeder_coefficient_of_variation,30,-6.78924012224068,,-0.04617560153027901,-26.961870414074035,2.8422465170299172e-43,5.4002683823568426e-42,7.234809316076154e-43,True,True,-0.046815106605969256,-0.04553609645458877,-0.04678168987104796,-0.04557559154073345,30,49941.44911896594,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_2,monopoly_dose_matched,2.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_peak_to_average_ratio,30,-0.07915077595470364,,-0.002945172381803192,-0.0922974441022817,0.6170048801019878,1.0,0.617004880101988,False,False,-0.014860404183423522,0.008970059419817137,-0.014474649009659786,0.008200333164530787,16,80638.07867784434,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline_peak_only_alternative,mono_divisor_2,monopoly_dose_matched,2.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_peak_to_average_ratio,30,-0.07915077595470364,,-0.002945172381803192,-0.0922974441022817,0.6170048801019878,1.0,0.617004880101988,False,False,-0.014860404183423522,0.008970059419817137,-0.014350336721683437,0.00788243922191817,16,80638.07867784434,0.0,,,dose_matched_peak_only_alternative,14,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"alternative correction family: feeder_peak_to_average_ratio only (the metric D11's rule is stated in terms of), not pooled with the 28-test primary family that also includes feeder_coefficient_of_variation"
arm_vs_own_baseline,mono_divisor_2,monopoly_dose_matched,2.0,1,,sweep_dose_matched_monopoly.parquet,0.5,feeder_coefficient_of_variation,30,-16.258652016736047,,-0.11059317330957313,-70.32700508893456,2.430961701149715e-55,5.834308082759316e-54,1.134448793869867e-54,True,True,-0.11118037547387864,-0.11000597114526763,-0.11115521951529506,-0.11005089788392199,30,80638.07867784434,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
arm_vs_own_baseline,mono_divisor_2,monopoly_dose_matched,2.0,1,,sweep_dose_matched_monopoly.parquet,1.0,feeder_peak_to_average_ratio,30,0.5750306740865732,,0.020114368662305464,0.14675109464269803,0.4280587481820828,1.0,0.4609863441960892,False,False,-0.03106636504061273,0.07129510236522366,-0.024747969324700015,0.07275219864233137,21,49941.44911896594,0.0,,,dose_matched_arm_primary_real,28,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
