family_definition,family_key,family_size,n_families_in_definition,scope,source,k,broker_count,ablation,metric,test_id,is_headline_72,degenerate,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,alpha,n_headline_tests,n_headline_surviving_holm,n_headline_surviving_bh,worst_headline_p_uncorrected,worst_headline_p_holm,worst_headline_p_bh,bonferroni_alpha_over_family_size,notes
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_both,avg_cost_per_agent_eur,main|k=0.5|bc=2|capacity_both|avg_cost_per_agent_eur,True,False,2.5205842992562496e-40,2.4701726132711247e-38,1.2602921496281249e-39,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_both,feeder_coefficient_of_variation,main|k=0.5|bc=2|capacity_both|feeder_coefficient_of_variation,True,False,1.727215175204622e-55,2.0726582102455463e-53,1.0363291051227731e-53,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_both,feeder_peak_to_average_ratio,main|k=0.5|bc=2|capacity_both|feeder_peak_to_average_ratio,True,False,2.719076019885684e-06,4.8943368357942316e-05,3.1373954075604044e-06,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_both,load_concentration_hhi,main|k=0.5|bc=2|capacity_both|load_concentration_hhi,False,False,2.0434138217426162e-07,4.904193172182279e-06,2.502139373562387e-07,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_both,prosumer_self_sufficiency,main|k=0.5|bc=2|capacity_both|prosumer_self_sufficiency,False,False,2.1751713243200624e-24,1.1310890886464324e-22,3.728865127405821e-24,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_pricing_only,avg_cost_per_agent_eur,main|k=0.5|bc=2|capacity_pricing_only|avg_cost_per_agent_eur,True,False,2.5205842992562496e-40,2.4701726132711247e-38,1.2602921496281249e-39,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_pricing_only,feeder_coefficient_of_variation,main|k=0.5|bc=2|capacity_pricing_only|feeder_coefficient_of_variation,True,False,1.727215175204622e-55,2.0726582102455463e-53,1.0363291051227731e-53,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_pricing_only,feeder_peak_to_average_ratio,main|k=0.5|bc=2|capacity_pricing_only|feeder_peak_to_average_ratio,True,False,2.719076019885684e-06,4.8943368357942316e-05,3.1373954075604044e-06,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_pricing_only,load_concentration_hhi,main|k=0.5|bc=2|capacity_pricing_only|load_concentration_hhi,False,False,2.0434138217426162e-07,4.904193172182279e-06,2.502139373562387e-07,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,2.0,capacity_pricing_only,prosumer_self_sufficiency,main|k=0.5|bc=2|capacity_pricing_only|prosumer_self_sufficiency,False,False,2.1751713243200624e-24,1.1310890886464324e-22,3.728865127405821e-24,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,avg_cost_per_agent_eur,main|k=0.5|bc=3|capacity_both|avg_cost_per_agent_eur,True,False,8.173010884187792e-45,9.153772190290327e-43,9.80761306102535e-44,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,feeder_coefficient_of_variation,main|k=0.5|bc=3|capacity_both|feeder_coefficient_of_variation,True,False,8.189313387962926e-47,9.499603530036993e-45,1.6378626775925852e-45,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,feeder_peak_to_average_ratio,main|k=0.5|bc=3|capacity_both|feeder_peak_to_average_ratio,True,False,1.1982521297879412e-19,4.5533580931941766e-18,1.711788756839916e-19,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,load_concentration_hhi,main|k=0.5|bc=3|capacity_both|load_concentration_hhi,False,False,0.2011909223777597,1.0,0.21556170254759968,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_both,prosumer_self_sufficiency,main|k=0.5|bc=3|capacity_both|prosumer_self_sufficiency,False,False,7.437340424456272e-26,4.6111510631628884e-24,1.4874680848912544e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,avg_cost_per_agent_eur,main|k=0.5|bc=3|capacity_pricing_only|avg_cost_per_agent_eur,True,False,8.173010884187792e-45,9.153772190290327e-43,9.80761306102535e-44,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,feeder_coefficient_of_variation,main|k=0.5|bc=3|capacity_pricing_only|feeder_coefficient_of_variation,True,False,8.189313387962926e-47,9.499603530036993e-45,1.6378626775925852e-45,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,feeder_peak_to_average_ratio,main|k=0.5|bc=3|capacity_pricing_only|feeder_peak_to_average_ratio,True,False,1.1982521297879412e-19,4.5533580931941766e-18,1.711788756839916e-19,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,0.5,3.0,capacity_pricing_only,load_concentration_hhi,main|k=0.5|bc=3|capacity_pricing_only|load_concentration_hhi,False,False,0.2011909223777597,1.0,0.21556170254759968,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
