broker_count,is_monopoly,k,n_seeds,feeder_peak_to_average_ratio_paired_mean_pct_change,feeder_peak_to_average_ratio_paired_dz,feeder_peak_to_average_ratio_paired_p,feeder_peak_to_average_ratio_n_improved_of_30,feeder_coefficient_of_variation_paired_mean_pct_change,feeder_coefficient_of_variation_paired_dz,feeder_coefficient_of_variation_paired_p,feeder_coefficient_of_variation_n_improved_of_30,capacity_both_mean_fire_rate,capacity_both_mean_total_deferred_kwh,avg_cost_per_agent_eur_paired_mean_pct_change,metric3_sign_convention,note
1,True,0.5,30,-0.07915077595470364,-0.0922974441022817,0.6170048801019878,16,-16.258652016736047,-70.32700508893456,2.430961701149715e-55,30,0.30816210045662096,80638.07867784434,19.94490144641943,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
1,True,1.0,30,0.5750306740865732,0.14675109464269803,0.4280587481820828,21,-6.78924012224068,-26.961870414074035,2.8422465170299172e-43,30,0.1865943683409437,49941.44911896594,12.771488760968028,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
1,True,1.5,30,4.245555742993636,3.1960724135673373,5.868834076736169e-17,0,-1.0636354092275393,-9.583363954674232,2.6648958996463915e-30,30,0.07987823439878235,23453.46068014867,6.222872299833912,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
1,True,2.0,30,16.735980720496023,16.552016527026108,3.849192335047318e-37,0,-0.0962043183058247,-2.5720635156680514,1.675284759032929e-14,30,0.024570015220700146,7981.087239685472,2.196536637697392,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
2,False,0.5,30,-5.24769109027541,-1.0599393421755359,2.7190760198856838e-06,24,-16.521538219913076,-71.16089693552811,1.727215175204622e-55,30,0.3076788432267884,75686.40065010078,13.764211967753308,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
2,False,1.0,30,-5.49407452181997,-1.9298861051465657,1.847269666872416e-11,29,-7.354911658512124,-16.853950593434334,2.28274367840728e-37,30,0.19365296803652965,47967.809003472044,9.024885071052532,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
2,False,1.5,30,2.169931609863904,1.364070656224394,3.106948240442157e-08,2,-1.3082510660930298,-8.333698211182424,1.4620970896168403e-28,30,0.0814992389649924,22199.85358639187,4.368664279602,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
2,False,2.0,30,14.035929311646111,10.697536517276014,1.1298452442953065e-31,0,-0.19349323342159855,-4.158719622922282,4.701348977102026e-20,30,0.02426560121765601,7377.721722969903,1.5106289118319982,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
3,False,0.5,30,-9.512350011519954,-4.0194396628735065,1.1982521297879412e-19,30,-14.81744883810366,-35.72345087653066,8.189313387962926e-47,30,0.30445966514459666,58602.22566287547,8.772015048965766,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
3,False,1.0,30,-9.838330616963411,-5.5833613814211365,1.2806412764261616e-23,30,-7.218444993219411,-22.24639495148878,7.431718354126906e-41,30,0.2030936073059361,38821.852828800955,5.967795983440526,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"capacity_pricing_only vs capacity_disabled, paired by seed; cost pct change is also pricing_only vs disabled (positive = costs more)"
