scope,k,broker_count,ablation,metric,metric_label,n_seeds,paired_mean_diff,paired_mean_pct_change,paired_dz,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,ci_disagreement_flag,ci_disagreement_detail,ci_width_ratio,degenerate,correction_family,correction_family_size,family_size_primary,family_size_alternative,family_size_monopoly_secondary,bootstrap_seed,n_bootstrap,alpha,metric3_sign_convention,notes
main_sweep,0.5,2,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,72.05289795306311,13.764211967753308,21.327183400641456,2.52058429925625e-40,2.470172613271125e-38,1.260292149628125e-39,True,True,70.79136267381617,73.31443323231005,70.89936780112764,73.30556452762025,False,,1.048572018536338,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,2,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,-0.0018707084879374522,-0.3521781265777114,-1.2336785887692894,2.0434138217426162e-07,4.904193172182279e-06,2.502139373562387e-07,True,True,-0.0024369289248003176,-0.0013044880510745865,-0.0024403365734800135,-0.0013658776445185494,False,,1.0539638539932934,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,2,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.18406423544037206,-5.24769109027541,-1.0599393421755359,2.7190760198856838e-06,4.894336835794231e-05,3.1373954075604044e-06,True,True,-0.24890824333430703,-0.1192202275464371,-0.24478685742057862,-0.12213581140940945,False,,1.057373907565859,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,2,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.11198576860880662,-16.521538219913076,-71.16089693552811,1.727215175204622e-55,2.0726582102455463e-53,1.0363291051227731e-53,True,True,-0.11257339713836248,-0.11139814007925075,-0.11254517996107237,-0.11144308665786025,False,,1.0663861722835695,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,2,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.002729448597648894,-0.3740056625080148,-5.945565494805789,2.1751713243200624e-24,1.1310890886464324e-22,3.728865127405821e-24,True,True,-0.002900869273649904,-0.0025580279216478844,-0.002890944379299471,-0.0025739271454836487,False,,1.0814596666413419,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,2,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,72.05289795306311,13.764211967753308,21.327183400641456,2.52058429925625e-40,2.470172613271125e-38,1.260292149628125e-39,True,True,70.79136267381617,73.31443323231005,70.91866682379201,73.28370619515076,False,,1.0668196855616598,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,2,capacity_both,load_concentration_hhi,Load concentration HHI,30,-0.0018707084879374522,-0.3521781265777114,-1.2336785887692894,2.0434138217426162e-07,4.904193172182279e-06,2.502139373562387e-07,True,True,-0.0024369289248003176,-0.0013044880510745865,-0.0024197936104546998,-0.0013621301311599757,False,,1.0707005544720807,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,0.5,2,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.18406423544037206,-5.24769109027541,-1.0599393421755359,2.7190760198856838e-06,4.894336835794231e-05,3.1373954075604044e-06,True,True,-0.24890824333430703,-0.1192202275464371,-0.2441153709755239,-0.12210232826914318,False,,1.062902890635706,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,2,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.11198576860880662,-16.521538219913076,-71.16089693552811,1.727215175204622e-55,2.0726582102455463e-53,1.0363291051227731e-53,True,True,-0.11257339713836248,-0.11139814007925075,-0.11255437912645326,-0.11144365876273829,False,,1.0581034592549519,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,0.5,2,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.002729448597648894,-0.3740056625080148,-5.945565494805789,2.1751713243200624e-24,1.1310890886464324e-22,3.728865127405821e-24,True,True,-0.002900869273649904,-0.0025580279216478844,-0.002894019223572136,-0.0025671611612657166,False,,1.0488997872128862,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
