scope,capacity_surcharge_mode,k,broker_count,n_seeds,feeder_peak_to_average_ratio_paired_mean_pct_change,feeder_peak_to_average_ratio_paired_dz,feeder_peak_to_average_ratio_paired_p,feeder_peak_to_average_ratio_p_holm,feeder_peak_to_average_ratio_p_bh,feeder_peak_to_average_ratio_survives_holm_alpha05,feeder_coefficient_of_variation_paired_mean_pct_change,feeder_coefficient_of_variation_paired_dz,feeder_coefficient_of_variation_paired_p,feeder_coefficient_of_variation_p_holm,feeder_coefficient_of_variation_p_bh,feeder_coefficient_of_variation_survives_holm_alpha05,total_deferred_kwh_capacity_both_mean,total_deferred_kwh_capacity_disabled_mean,correction_family,metric3_sign_convention,notes
mode_cell,proportional,0.5,2,30,-5.24769109027541,-1.0599393421755359,2.7190760198856838e-06,2.4471684178971154e-05,3.495954882710165e-06,True,-16.521538219913076,-71.16089693552811,1.727215175204622e-55,6.045253113216177e-54,3.108987315368319e-54,True,75686.40065010078,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,proportional,0.5,3,30,-9.512350011519954,-4.0194396628735065,1.1982521297879412e-19,1.3180773427667353e-18,1.659118333552534e-19,True,-14.81744883810366,-35.72345087653066,8.189313387962926e-47,2.0473283469907315e-45,2.4567940163888775e-46,True,58602.22566287547,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,proportional,0.5,5,30,-9.988238621330645,-7.3668133036549515,4.9522676691091774e-27,7.641765803179568e-26,8.103710731269563e-27,True,-14.644902856273198,-37.91892853877188,1.454083274563217e-47,3.780616513864364e-46,4.758817989479619e-47,True,57839.13418913304,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,proportional,1.0,2,30,-5.49407452181997,-1.9298861051465657,1.847269666872416e-11,1.847269666872416e-10,2.4630262224965548e-11,True,-7.354911658512124,-16.853950593434334,2.28274367840728e-37,3.8806642532923755e-36,4.108938621133104e-37,True,47967.809003472044,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,proportional,1.0,3,30,-9.838330616963411,-5.5833613814211365,1.2806412764261616e-23,1.7761696896434751e-22,1.9209619146392425e-23,True,-7.218444993219411,-22.24639495148878,7.431718354126906e-41,1.6349780379079193e-39,1.7836124049904573e-40,True,38821.852828800955,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,proportional,1.0,5,30,-10.001254047437907,-7.376178594847745,4.77610362698723e-27,7.641765803179568e-26,8.103710731269563e-27,True,-7.1485323746789176,-25.12591387018377,2.1910500144425977e-42,5.039415033217975e-41,5.63412860856668e-42,True,38422.81013666537,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,synchronized,0.5,2,30,-0.026480649121420233,-0.037114253061397026,0.8403333996694224,1.0,0.8897647761205649,False,-16.34456512324422,-57.500883328479254,8.340041778011687e-53,2.502012533403506e-51,3.7532116398149074e-52,True,80714.09664844492,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,synchronized,0.5,3,30,-9.875528974239124,-5.455913437792843,2.452391258577739e-23,2.942869510293287e-22,3.531443412351944e-23,True,-13.927516720905027,-66.6574779396252,1.1496549548308543e-54,3.9088268464249045e-53,1.379585945797025e-53,True,54589.8318147615,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,synchronized,0.5,5,30,-7.9601226677338355,-43.04587712973858,3.6839772848929615e-49,1.0315136397700293e-47,1.3641025658855257e-48,True,-9.072564782074387,-88.52170939988949,3.078328541726538e-58,1.1081982750215537e-56,1.1081982750215537e-56,True,32812.85199101617,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
mode_cell,synchronized,1.0,2,30,0.397883497611647,0.13122250127973234,0.4780556677281509,1.0,0.5736668012737811,False,-6.902095229013541,-19.108546755693396,6.050567961446159e-39,1.1496079126747702e-37,1.1464234032213776e-38,True,50082.586805973464,0.0,"surcharge_mode_primary_real (36 real paired tests: 3 modes x 2 k x 3 broker_count x 2 metric3 sub-measures; new D10 arm, its own family, not pooled with the D8 (120) or D9 (96) families)",metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,"D10 VERDICT: the broker-count gradient in peak-to-average ratio PERSISTS under synchronized (same sign as proportional, significant after Holm correction) at every tested k. Per D10's pre-registered rule this fires the FIRST branch: the channel behind the peak-to-average improvement is deferred VOLUME, not desynchronized timing, because synchronized removes all cross-broker variation (nothing left to desynchronize) yet the gradient survives anyway. This control refutes the desynchronization account, and the thesis's explanation is the volume-based one, revised in response to this arm. Per-k detail: k=0.5: proportional -4.741 pp (p_holm=0.000146, sig=True); synchronized -7.934 pp (p_holm=8.36e-28, sig=True); renormalized -0.093 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED | k=1: proportional -4.507 pp (p_holm=4.71e-07, sig=True); synchronized -8.367 pp (p_holm=8.34e-15, sig=True); renormalized -0.342 pp (p_holm=1, sig=False) -> branch: PERSISTS_UNDER_SYNCHRONIZED"
