k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb,capacity_surcharge_divisor
0.5,1,capacity_disabled,20260710,proportional,672.3945196047291,0.19392449136084222,1.0,"{""regulated_utility"": 1.0}",0.6715414466559639,3.500992579457727,20.632297508341075,0.7267403061928125,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,382.6288401999045,131.41796875,2
0.5,1,capacity_disabled,20260716,proportional,648.616202443463,0.19401030532085328,1.0,"{""regulated_utility"": 1.0}",0.6799467452082625,3.5443540916180063,20.18723482479201,0.7426522653732859,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,398.1843272000551,131.36328125,2
0.5,1,capacity_disabled,20260718,proportional,683.4247073733197,0.19397547501221615,1.0,"{""regulated_utility"": 1.0}",0.6884292333188465,3.5267146059213657,21.56816267247005,0.7440330502823794,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,410.0807519000955,131.43359375,2
0.5,1,capacity_disabled,20260709,proportional,695.8002838809097,0.19393119359580502,1.0,"{""regulated_utility"": 1.0}",0.6758379498434416,3.504581977079471,21.546980793616658,0.7229248456395994,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,423.32485299999826,131.68359375,2
0.5,1,capacity_disabled,20260712,proportional,686.5467493925996,0.1938881548005885,1.0,"{""regulated_utility"": 1.0}",0.6750388767385166,3.4824591386817354,21.270488906903367,0.7474076370586199,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,423.08473400003277,131.3515625,2
0.5,1,capacity_disabled,20260711,proportional,677.6729988716864,0.19388720335441864,1.0,"{""regulated_utility"": 1.0}",0.6784551893863281,3.4821923646209894,21.000839721438094,0.7143371823567679,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,439.0720517998561,131.34765625,2
0.5,1,capacity_disabled,20260705,proportional,693.0161758112904,0.19393377922552635,1.0,"{""regulated_utility"": 1.0}",0.6687899405309747,3.5060247996567755,21.158763411418793,0.7011510865918867,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,455.8717956999317,131.64453125,2
0.5,1,capacity_disabled,20260715,proportional,649.9520581069403,0.19410902135120336,1.0,"{""regulated_utility"": 1.0}",0.709140516536293,3.5939212250574326,20.865891458604985,0.7364458388226904,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,459.7931041000411,131.3671875,2
0.5,1,capacity_disabled,20260714,proportional,683.2220252346156,0.19393781184115302,1.0,"{""regulated_utility"": 1.0}",0.6701346663283343,3.507636959669805,20.905274886099804,0.738364124057701,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,464.7778688999824,131.3828125,2
0.5,1,capacity_disabled,20260717,proportional,681.3468725360607,0.19384639612764748,1.0,"{""regulated_utility"": 1.0}",0.6595393144714787,3.461460297935094,20.57313605436039,0.7208649005541282,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,469.5033358000219,131.27734375,2
