k,broker_count,ablation,seed,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb
1.0,3,capacity_disabled,20260713,519.8715957198957,0.16918239044673855,0.3533457285170421,"{""premium_green"": 0.22764658614927666, ""regulated_utility"": 0.3458166871769243, ""volatile_low_cost"": 0.4265367266737992}",0.8113996697738719,10.07164832511833,33.81139656583642,0.7915562448911481,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.13259342701634846,0.0,0.0,3,370.9248481000541,131.90234375
1.0,3,capacity_disabled,20260706,524.1834363288159,0.17103645063302728,0.351325291714821,"{""premium_green"": 0.22836696823515396, ""regulated_utility"": 0.3587513013201736, ""volatile_low_cost"": 0.4128817304446726}",0.8125293343496053,10.126890893550451,33.738144913653564,0.8107847952922358,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12300984147301253,0.0,0.015,3,384.3605251999106,131.96875
1.0,3,capacity_disabled,20260711,529.6434750251764,0.16834025165788916,0.3671110619540594,"{""premium_green"": 0.18543681809946047, ""regulated_utility"": 0.3852854572759028, ""volatile_low_cost"": 0.42927772462463676}",0.7832083802935769,10.063740815665382,33.66304190751069,0.7586601302747235,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16256060435011754,0.0,0.01,3,392.88288219994865,131.96484375
1.0,3,capacity_disabled,20260715,520.2416888818464,0.17405344750092988,0.36172654564637197,"{""premium_green"": 0.19979507614396735, ""regulated_utility"": 0.4287774781728136, ""volatile_low_cost"": 0.37142744568321906}",0.80069548853267,10.152674392394875,32.511214039561814,0.7490745206663154,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15265493468589741,0.0,0.01,3,401.16840119997505,132.203125
1.0,3,capacity_disabled,20260705,537.7241598734514,0.1676512226945865,0.37164589937530657,"{""premium_green"": 0.17433932156077986, ""regulated_utility"": 0.3987960531195467, ""volatile_low_cost"": 0.42686462531967356}",0.7881799229822823,9.891835580336233,34.41367663916837,0.7721599468314457,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16835020250592936,0.0,0.0,3,408.9772649999941,132.18359375
1.0,3,capacity_disabled,20260710,523.900607075402,0.1693375654826732,0.3635314090028645,"{""premium_green"": 0.19530567636643553, ""regulated_utility"": 0.3738811773978851, ""volatile_low_cost"": 0.43081314623567935}",0.7995781816702112,9.882058413755518,33.595065855390565,0.8045866086982658,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15700497991282947,0.0,0.0,3,409.8903505000053,131.90234375
1.0,3,capacity_disabled,20260704,548.5152012326321,0.17678501467996846,0.35214656669019545,"{""premium_green"": 0.22140969173740915, ""regulated_utility"": 0.3926775375160365, ""volatile_low_cost"": 0.3859127707465544}",0.7806841703406578,9.965232115090377,33.0120005911005,0.7665171203710093,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11417856385241842,0.0,0.0,3,418.97022559994366,131.609375
1.0,3,capacity_disabled,20260716,556.7776794607375,0.17372301344137092,0.362655235561659,"{""premium_green"": 0.19498811931202015, ""regulated_utility"": 0.4200102950082056, ""volatile_low_cost"": 0.38500158567977427}",0.7524766975635944,9.75437667372327,32.99306583057176,0.7472514673558177,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15001478379745725,0.0,0.02,3,417.0733628999442,132.05078125
1.0,3,capacity_disabled,20260707,540.8175771813937,0.17241277519833895,0.3463129109763947,"{""premium_green"": 0.24069549029979986, ""regulated_utility"": 0.37234052796094896, ""volatile_low_cost"": 0.3869639817392511}",0.7864284652833881,10.0739857280305,33.607135041934434,0.7846910527910449,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.0975123276263008,0.0,0.01,3,427.69447949994355,131.50390625
1.0,3,capacity_disabled,20260714,522.4586829790796,0.1715068821642357,0.35549047314487425,"{""premium_green"": 0.21275950319417972, ""regulated_utility"": 0.38039022497317426, ""volatile_low_cost"": 0.406850271832646}",0.7873736513141675,9.84341997609682,32.622908287932034,0.7847094445492611,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1293938457589774,0.0,0.005,3,429.05821310007013,132.09765625
