deferrable_fraction,response_reference_eur_per_kwh,payback_cap_fraction,ablation,seed,k,broker_count,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,row_provenance,run_wallclock_sec,peak_rss_mb
0.05,0.0125,0.25,capacity_both,20260713,1.0,3,617.0531672913099,0.18128590189325658,0.3524193401381406,"{""premium_green"": 0.2299829338179531, ""regulated_utility"": 0.34586744735733305, ""volatile_low_cost"": 0.4241496188247138}",0.6802819725872111,3.3859213214284445,20.361002741178705,0.7491750119827405,5752.819475454174,0.17728310502283104,"{""premium_green"": 0.0040221620419306605, ""regulated_utility"": 0.006138562526545155, ""volatile_low_cost"": 0.007567585933807288}",0.12944445667117388,12967.779807722383,0.0,3,direct,346.65764210000634,129.6171875
0.05,0.0125,0.25,capacity_both,20260706,1.0,3,621.217761032985,0.182946757473128,0.3512290051061823,"{""premium_green"": 0.2284908571162258, ""regulated_utility"": 0.3592238859640593, ""volatile_low_cost"": 0.4122852569197149}",0.6819170128391434,3.3936935202333127,20.432481871916448,0.765592197158577,5720.163098369918,0.17888127853881278,"{""premium_green"": 0.0040812438260348725, ""regulated_utility"": 0.00642958341389815, ""volatile_low_cost"": 0.007377300613948227}",0.12252959986899281,13068.760810178199,0.015,3,direct,364.1292860999238,129.44921875
0.05,0.0125,0.25,capacity_both,20260711,1.0,3,626.1622209089971,0.18013313623841457,0.3665906222924624,"{""premium_green"": 0.1868201999460757, ""regulated_utility"": 0.3835883612012599, ""volatile_low_cost"": 0.42959143885266443}",0.6541640618822746,3.3042328975980486,20.066743282398733,0.712488318673738,5899.48317113279,0.17625570776255708,"{""premium_green"": 0.0032670642571562486, ""regulated_utility"": 0.0067946051309997575, ""volatile_low_cost"": 0.007563901388099572}",0.16184749260439246,12804.89420372823,0.01,3,direct,363.82887990004383,129.6875
0.05,0.0125,0.25,capacity_both,20260715,1.0,3,614.9199326725997,0.1857853343867985,0.36201736770784715,"{""premium_green"": 0.19967134416763338, ""regulated_utility"": 0.4308705435159307, ""volatile_low_cost"": 0.3694581123164358}",0.6705840358709085,3.375991489364636,19.43074744395492,0.7048035914670852,5554.974506159326,0.17545662100456622,"{""premium_green"": 0.003508668141637888, ""regulated_utility"": 0.0075625604023603354, ""volatile_low_cost"": 0.00647443355645843}",0.15413279956553172,12384.876915807146,0.015,3,direct,371.78981039999053,129.41796875
0.05,0.0125,0.25,capacity_both,20260705,1.0,3,639.6335488087924,0.18027494918321424,0.3715190718892677,"{""premium_green"": 0.1746371888474559, ""regulated_utility"": 0.39838037162920004, ""volatile_low_cost"": 0.4269824395233441}",0.6549915333215252,3.343954696190351,20.553260079245636,0.7289874760645937,5827.790421588804,0.17922374429223745,"{""premium_green"": 0.003115772569239376, ""regulated_utility"": 0.007143367336444696, ""volatile_low_cost"": 0.007663234523539769}",0.1682301671172588,13418.057869713319,0.0,3,direct,377.37083019991405,129.70703125
0.05,0.0125,0.25,capacity_both,20260710,1.0,3,621.3797867138694,0.18146901628128795,0.3639492263949931,"{""premium_green"": 0.19428136992017436, ""regulated_utility"": 0.3744628340248469, ""volatile_low_cost"": 0.4312557960549787}",0.6668619961768043,3.359710423331146,20.24345028609171,0.7613152551109662,5672.865069524837,0.18013698630136987,"{""premium_green"": 0.0035115811501015967, ""regulated_utility"": 0.0067441069077020166, ""volatile_low_cost"": 0.007758010572333393}",0.15798295075653623,13131.949790505378,0.0,3,direct,386.3472614000784,129.46875
0.05,0.0125,0.25,capacity_both,20260704,1.0,3,644.2883551848273,0.1879218659528839,0.35215770693537485,"{""premium_green"": 0.2213499546838258, ""regulated_utility"": 0.3919667987086897, ""volatile_low_cost"": 0.3866832466074845}",0.6486211874343486,3.3090705070414996,19.654922083045076,0.72592379752799,5803.792955942871,0.1786529680365297,"{""premium_green"": 0.003965963630089855, ""regulated_utility"": 0.007024899795334689, ""volatile_low_cost"": 0.006874433378228488}",0.11374456268324273,12784.527825499146,0.0,3,direct,388.81736649991944,129.59765625
0.05,0.0125,0.25,capacity_both,20260709,1.0,3,661.7490824891875,0.18611919868817028,0.3490303789005458,"{""premium_green"": 0.23108129681867157, ""regulated_utility"": 0.3870887155934972, ""volatile_low_cost"": 0.3818299875878313}",0.64446280417035,3.302835060023351,20.30949858784542,0.7367546605567673,5931.816666746294,0.18025114155251143,"{""premium_green"": 0.004153866729547657, ""regulated_utility"": 0.006987796370816034, ""volatile_low_cost"": 0.006883451054887478}",0.10400494584988418,13364.57880614675,0.0,3,direct,394.57200599997304,129.78125
0.05,0.0125,0.25,capacity_both,20260716,1.0,3,657.223911731114,0.1858148376516629,0.3624669257180577,"{""premium_green"": 0.19510245908807147, ""regulated_utility"": 0.41780993077689016, ""volatile_low_cost"": 0.3870876101350382}",0.617783485094775,3.285418017935008,19.289778427964993,0.700537995290123,5852.390313961945,0.179337899543379,"{""premium_green"": 0.0035010019703788256, ""regulated_utility"": 0.007532233246824881, ""volatile_low_cost"": 0.006900554737134227}",0.14847164779254607,13042.534599966772,0.02,3,direct,395.03096889995504,129.75390625
0.05,0.0125,0.25,capacity_both,20260707,1.0,3,638.9637114486438,0.18423844535166262,0.34616185990011,"{""premium_green"": 0.24123296304430808, ""regulated_utility"": 0.37214441439953305, ""volatile_low_cost"": 0.38662262255615887}",0.6532904694485778,3.3274764761806725,19.924175880361265,0.7446677838859322,5854.063316979901,0.17853881278538813,"{""premium_green"": 0.004293019871728189, ""regulated_utility"": 0.0066605088617699695, ""volatile_low_cost"": 0.006900352545040689}",0.09692643967456727,13050.095244623415,0.01,3,direct,397.0628392000217,129.31640625
