deferrable_fraction,response_reference_eur_per_kwh,payback_cap_fraction,ablation,seed,k,broker_count,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,row_provenance,run_wallclock_sec,peak_rss_mb
0.2,0.05,0.5,capacity_disabled,20260713,1.0,3,579.5435192328487,0.17026597674691485,0.3524293273130233,"{""premium_green"": 0.22995638215590966, ""regulated_utility"": 0.34586952337202453, ""volatile_low_cost"": 0.4241740944720659}",0.7030014848866677,3.5641307823946877,21.15827457910025,0.7496291091348916,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12947847487743758,0.0,0.0,3,,400.9986364999786,129.58984375
0.2,0.05,0.5,capacity_disabled,20260706,1.0,3,583.7623954741723,0.17191628290392683,0.35123049889991775,"{""premium_green"": 0.22848743108073685, ""regulated_utility"": 0.35922167745441136, ""volatile_low_cost"": 0.41229089146485176}",0.7047115999458832,3.5723093354039404,21.24090033995205,0.7659933606475976,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12253564025607666,0.0,0.015,3,,405.340432099998,129.5078125
0.2,0.05,0.5,capacity_disabled,20260715,1.0,3,577.9242515135264,0.17460802518218496,0.36190914393337725,"{""premium_green"": 0.19967262776837513, ""regulated_utility"": 0.4299800765903511, ""volatile_low_cost"": 0.37034729564127367}",0.6937953332605986,3.553678719637229,20.21679532424904,0.7051975039579517,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1535382992146508,0.0,0.01,3,,406.1429215000244,129.1796875
0.2,0.05,0.5,capacity_disabled,20260711,1.0,3,587.0622608722407,0.16888491671471298,0.36659301628327895,"{""premium_green"": 0.1868115120582728, ""regulated_utility"": 0.383608196188519, ""volatile_low_cost"": 0.4295802917532082}",0.677355059657475,3.4781395077190935,20.87924212506656,0.7128647878767761,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16184585312995692,0.0,0.01,3,,408.7697701000143,129.83984375
0.2,0.05,0.5,capacity_disabled,20260709,1.0,3,623.3681257560279,0.17532446912199418,0.34902895484077445,"{""premium_green"": 0.2310861077948441, ""regulated_utility"": 0.3870912213314682, ""volatile_low_cost"": 0.38182267087368765}",0.6675603704937432,3.4766693989722683,21.13748222797039,0.7371088528144052,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.10400340902441618,0.0,0.0,3,,431.1296934999991,129.7578125
0.2,0.05,0.5,capacity_disabled,20260714,1.0,3,582.652092814164,0.17285586657649143,0.3552913248223778,"{""premium_green"": 0.21313018213286467, ""regulated_utility"": 0.3815018634031846, ""volatile_low_cost"": 0.4053679544639507}",0.677246830584784,3.5284507551993016,20.23735076404415,0.7411850859135374,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12815851488739072,0.0,0.005,3,,430.75350640004035,129.28125
0.2,0.05,0.5,capacity_disabled,20260716,1.0,3,618.3677179448625,0.1748291641949745,0.36246909881361844,"{""premium_green"": 0.1950986381662278, ""regulated_utility"": 0.4178214170471293, ""volatile_low_cost"": 0.387079944786643}",0.641221212671273,3.4564112754475618,20.10261178472654,0.7008348896689054,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.14848185258726776,0.0,0.02,3,,430.6605750999879,129.5546875
0.2,0.05,0.5,capacity_disabled,20260710,1.0,3,582.2769115413658,0.17004946252792158,0.3639463005490523,"{""premium_green"": 0.1942879348893897, ""regulated_utility"": 0.3744612005161254, ""volatile_low_cost"": 0.4312508645944848}",0.6897057158902801,3.536539979171089,21.045342692209406,0.7617301732370906,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15797528647006343,0.0,0.0,3,,434.8028858999023,129.80859375
0.2,0.05,0.5,capacity_disabled,20260707,1.0,3,601.7412592281264,0.1735060034586707,0.3461652362694507,"{""premium_green"": 0.24122115969588176, ""regulated_utility"": 0.37214634974672045, ""volatile_low_cost"": 0.38663249055739785}",0.6764025682341365,3.5026120560498755,20.72167114815019,0.7451034289897903,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.09694088724101091,0.0,0.01,3,,442.3577561000129,129.60546875
0.2,0.05,0.5,capacity_disabled,20260704,1.0,3,607.2554362318879,0.17712060694557066,0.35215607781811664,"{""premium_green"": 0.2213554411957249, ""regulated_utility"": 0.3919842329526817, ""volatile_low_cost"": 0.3866603258515934}",0.6717422648172414,3.483237296521536,20.457377702948357,0.7262691241098145,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11375252783797118,0.0,0.0,3,,444.55028099997435,129.63671875
0.2,0.05,0.5,capacity_disabled,20260705,1.0,3,598.9136198239096,0.1687984581481566,0.37152306852410316,"{""premium_green"": 0.17462928306782366, ""regulated_utility"": 0.39838025736973437, ""volatile_low_cost"": 0.4269904595624419}",0.6778416958756219,3.5199534345696573,21.364038454972917,0.7294440095438219,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16824078432974554,0.0,0.0,3,,450.0325392000377,129.6640625
0.2,0.05,0.5,capacity_disabled,20260717,1.0,3,618.9574978049311,0.17056194012476397,0.3680005127876543,"{""premium_green"": 0.18131240659931883, ""regulated_utility"": 0.40843930603758666, ""volatile_low_cost"": 0.4102482873630945}",0.6428614761654583,3.403007240915889,20.777956937154723,0.6984511336473292,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15262392050918372,0.0,0.0,3,,473.49068210006226,129.33984375
0.2,0.05,0.5,capacity_disabled,20260712,1.0,3,575.1478638656804,0.16771408186645412,0.38731639435173104,"{""premium_green"": 0.1437107784086077, ""regulated_utility"": 0.4330431317013827, ""volatile_low_cost"": 0.42324608989000956}",0.7046995101830673,3.575768265421126,21.328812993952567,0.7180739096757578,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.19288823552851664,0.0,0.0,3,,490.3281477999408,129.49609375
0.2,0.05,0.5,capacity_disabled,20260708,1.0,3,607.0641428929583,0.17793196131215339,0.37539263064123995,"{""premium_green"": 0.19077886246440542, ""regulated_utility"": 0.4806915504939374, ""volatile_low_cost"": 0.3285295870416572}",0.6774904301528886,3.5114057752317063,20.39503973400148,0.7002279859953016,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1932751253530216,0.0,0.01,3,,542.0536307999864,129.12890625
0.2,0.05,0.5,capacity_disabled,20260720,1.0,3,609.6978044203785,0.17416996661929296,0.3439542499912393,"{""premium_green"": 0.263718518557669, ""regulated_utility"": 0.32720430827077457, ""volatile_low_cost"": 0.40907717317155645}",0.6704522306341634,3.491882383069346,20.860543856464954,0.7356326062496783,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.09690576974259169,0.0,0.005,3,,350.52489430003334,129.1796875
0.2,0.05,0.5,capacity_disabled,20260721,1.0,3,609.7196266659244,0.17234224569576112,0.354190096473444,"{""premium_green"": 0.21687465408795792, ""regulated_utility"": 0.3755497534416909, ""volatile_low_cost"": 0.40757559247035113}",0.6892876739929781,3.501023458473839,21.65344820826506,0.7142943787157755,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12713395892159585,0.0,0.005,3,,394.5745042000199,129.83984375
0.2,0.05,0.5,capacity_disabled,20260718,1.0,3,613.8377812616498,0.16818267347834037,0.3599310481407638,"{""premium_green"": 0.22938499179611124, ""regulated_utility"": 0.31323175143531623, ""volatile_low_cost"": 0.4573832567685726}",0.6581826343786611,3.459471385050376,21.411007476194662,0.724734939765143,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15199884331497415,0.0,0.01,3,,418.0468565999763,129.58984375
0.2,0.05,0.5,capacity_disabled,20260725,1.0,3,566.8822082932043,0.1653659968142652,0.38692187789728755,"{""premium_green"": 0.14907846329897198, ""regulated_utility"": 0.3889658449577658, ""volatile_low_cost"": 0.4619556917432622}",0.6960080607818288,3.5410806616450525,21.159379163926964,0.7510886160732293,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.2085848189628603,0.0,0.0,3,,394.528911100002,129.80859375
0.2,0.05,0.5,capacity_disabled,20260719,1.0,3,615.4347643035013,0.174047134064587,0.3539424595402916,"{""premium_green"": 0.21614107784998754, ""regulated_utility"": 0.38991835577598083, ""volatile_low_cost"": 0.39394056637403163}",0.6539871003707145,3.437072115733567,20.563230748994645,0.7084502019894952,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11853299234936276,0.0,0.02,3,,467.54196109995246,129.5078125
0.2,0.05,0.5,capacity_disabled,20260727,1.0,3,603.5467408197277,0.17472719653201157,0.35570093608541015,"{""premium_green"": 0.21258792265218457, ""regulated_utility"": 0.4094924481966258, ""volatile_low_cost"": 0.37791962915118954}",0.6740182781201437,3.5231800545620207,20.54487888545242,0.7369662288915547,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1312696836962941,0.0,0.01,3,,435.2062140000053,129.63671875
0.2,0.05,0.5,capacity_disabled,20260726,1.0,3,604.0584441282108,0.17757421531963902,0.341155633118098,"{""premium_green"": 0.26178015585577735, ""regulated_utility"": 0.3775513074460531, ""volatile_low_cost"": 0.36066853669816945}",0.6960209587226914,3.586516166298657,20.88535051946416,0.7376607366402571,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.07718076772685079,0.0,0.005,3,,437.0384428999387,129.60546875
0.2,0.05,0.5,capacity_disabled,20260723,1.0,3,597.8854323698652,0.17052118342067665,0.3642416810935138,"{""premium_green"": 0.18993933973006297, ""regulated_utility"": 0.3993035658680167, ""volatile_low_cost"": 0.4107570944019202}",0.6494519960026345,3.4381510398024897,20.289062093119092,0.7326296134021535,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.14721183644790492,0.0,0.005,3,,451.75288260006346,129.28125
0.2,0.05,0.5,capacity_disabled,20260730,1.0,3,583.497828049191,0.1773543487407911,0.3484308696537989,"{""premium_green"": 0.2360286899570429, ""regulated_utility"": 0.4031427565075641, ""volatile_low_cost"": 0.36082855353539295}",0.7133076833329887,3.605183108498137,20.743591116696443,0.7627460815758501,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11140937770034753,0.0,0.005,3,,396.4559567000251,129.49609375
0.2,0.05,0.5,capacity_disabled,20260724,1.0,3,602.9803063871769,0.17343787886302944,0.3901824111158093,"{""premium_green"": 0.1448305447534902, ""regulated_utility"": 0.4697102889186861, ""volatile_low_cost"": 0.38545916632782384}",0.6685782864262676,3.509870933463172,20.49887365439739,0.7003962346556495,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.21658649611013048,0.0,0.0,3,,455.8221337000141,129.5546875
0.2,0.05,0.5,capacity_disabled,20260729,1.0,3,580.706702136194,0.1704615556384526,0.3598207426134484,"{""premium_green"": 0.20635438387432697, ""regulated_utility"": 0.36289694129759587, ""volatile_low_cost"": 0.43074867482807716}",0.668809493516106,3.4740076061474503,20.167433660425505,0.7113739835896604,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1495961939691668,0.0,0.0,3,,413.1227665001061,129.33984375
0.2,0.05,0.5,capacity_disabled,20260722,1.0,3,622.9962369735665,0.1743894588213795,0.3765578693304579,"{""premium_green"": 0.16990569530982316, ""regulated_utility"": 0.454806721584514, ""volatile_low_cost"": 0.3752875831056628}",0.6695871637881453,3.4808143313741082,21.104747332821148,0.7191626587321535,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.18993401751646077,0.0,0.0,3,,457.441840399988,129.7578125
0.2,0.05,0.5,capacity_disabled,20260728,1.0,3,612.311590872667,0.17203209448766146,0.357136266709399,"{""premium_green"": 0.20836146468030964, ""regulated_utility"": 0.38210829679482605, ""volatile_low_cost"": 0.4095302385248643}",0.6651772368582847,3.4800895265106497,20.89417592349721,0.722890403062812,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.13411251589636985,0.0,0.0,3,,443.6094207999995,129.6640625
